State_Name,Crop_Type,Crop,N,P,K,Zinc,pH,rainfall,temperature,Area_in_hectares,Production_in_tons,Yield
andhra pradesh,rabi,jowar,80,40,40,0.5,5.5,288.3,25.46,18800,9400.0,0.5
andhra pradesh,kharif,jowar,80,40,40,0.625,5.4,654.34,29.2666666666666,2400,1500.0,0.625
andhra pradesh,kharif,jowar,80,40,40,0.545454545454545,5.38,654.34,29.2666666666666,1100,600.0,0.5454545454545454
andhra pradesh,kharif,jowar,80,40,40,0.5,5.68,654.34,29.2666666666666,200,100.0,0.5
andhra pradesh,rabi,jowar,80,40,40,0.866666666666666,5.62,288.3,25.46,3000,2600.0,0.8666666666666667
andhra pradesh,kharif,jowar,80,40,40,0.6,5.38,654.34,29.2666666666666,500,300.0,0.6
andhra pradesh,kharif,jowar,80,40,40,0.567567567567567,5.58,654.34,29.2666666666666,3700,2100.0,0.5675675675675675
andhra pradesh,rabi,jowar,80,40,40,0.666666666666666,5.4,288.3,25.46,300,200.0,0.6666666666666666
andhra pradesh,kharif,jowar,80,40,40,0.666666666666666,5.54,654.34,29.2666666666666,300,200.0,0.6666666666666666
andhra pradesh,rabi,jowar,80,40,40,0.5,5.48,288.3,25.46,400,200.0,0.5
andhra pradesh,kharif,jowar,80,40,40,0.538461538461538,5.32,654.34,29.2666666666666,1300,700.0,0.5384615384615384
andhra pradesh,kharif,jowar,80,40,40,0.5,5.54,654.34,29.2666666666666,600,300.0,0.5
bihar,kharif,jowar,80,40,40,0.830388692579505,5.32,840.46,33.5833333333333,849,705.0,0.8303886925795053
bihar,kharif,jowar,80,40,40,0.829865361077111,5.42,840.46,33.5833333333333,817,678.0,0.8298653610771114
bihar,kharif,jowar,80,40,40,0.835820895522388,5.58,840.46,33.5833333333333,67,56.0,0.835820895522388
bihar,kharif,jowar,80,40,40,0.864077669902912,5.44,840.46,33.5833333333333,103,89.0,0.8640776699029126
bihar,kharif,jowar,80,40,40,0.860655737704918,5.38,840.46,33.5833333333333,122,105.0,0.860655737704918
